topic,count,first_year,last_year
Article,3912,1665,1886
Letter,2141,1665,1860
Astronomical Observation,479,1665,1886
Experiment,455,1666,1886
Errata,333,1665,1886
Book-review,269,1665,1753
Illustration,221,1665,1787
Meteorological-observation,214,1666,1863
Advertisement,107,1666,1886
Lecture,96,1737,1886
Articles,61,1668,1771
Catalogue,60,1685,1864
Magnetical-observation,58,1667,1885
Abstract,29,1668,1883
Editorial,25,1665,1728
Preface,20,1667,1879
Acknowledgement,18,1665,1742
Appendix,10,1666,1862
Bill-of-mortality,8,1700,1774
Notes,8,1665,1839
Report,8,1666,1879
Corrigenda,7,1741,1882
List,3,1666,1879
Speech,2,1743,1781
Discussion,1,1856,1856
